,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
9033,La bella y la bestia (I) (1992 Video),"3,6",72.0,,1992,Timothy Forder,"Michael Hordern, Christopher Lee, Penelope Keith, Kate O'Mara",False
9034,The Three Little Pups,"7,6",588.0,,1953,Tex Avery,"Daws Butler, Red Coffey, Joe Trescari",False
9035,Dinotrux Supercharged,"7,6",113.0,,2017,,"Andrew Francis, Ashleigh Ball, Matt Hill, Richard Ian Cox",False
9036,Captain Daddy (2021 TV Movie),,,,2021,Skip Jones,"Edward Asner, Roger Bart, Lily Holleman, Richard Steven Horvitz",False
9037,American: The Bill Hicks Story,"7,7",4961.0,55.0,2009,"Matt Harlock, Paul Thomas","Bill Hicks, Dwight Slade, Mary Hicks, Steve Hicks",False
9038,Deux escargots s'en vont,"6,3",146.0,,2016,"Jean-Pierre Jeunet, Romain Segaud","Sarah Bauer, Marie-Julie Baup, Jean-Pierre Becker, Dominique Bettenfeld",False
9039,Bible Town,"1,2",149.0,,2017,Evan Tramel,"Kj Schrock, Tina Shuster, Sarah Taylor",False
9040,These Are the Days,"7,3",69.0,,1974,,"Irene Tedrow, Paul Winchell, Janet Waldo, Henry Corden",False
9041,Gloria's House,"7,7",53.0,,2000,,"Katy Manning, Nick Jasprizza, Nicholas Mcay, Michelle Doake",False
9042,Kongsuni y sus amigos,"4,7",30.0,,2017,,"Caitlynne Medrek, Josh Friesen, Stephanie Jennings, Nikki Rae Hallow",False
9043,The Incredible Stories of Bimi Boo and Friends,"8,7",16.0,,2021,,"Marlies Dubois, Steven Marriott, Karilynne Davies, Michelle Weisbom",False
9044,The Adventures of Tom Thumb & Thumbelina (2002 Video),"5,0",683.0,,2002,Glenn Chaika,"Jennifer Love Hewitt, Elijah Wood, Peter Gallagher, Alexandra Boyd",False
9045,Shinchan ¡Los adultos contraatacan! La película,"7,8",1037.0,,2001,Keiichi Hara,"Akiko Yajima, Miki Narahashi, Keiji Fujiwara, Satomi Kôrogi",False
9046,Boonie Bears,"6,6",110.0,,2011,,"Joseph S. Lambert, Paul 'Maxx' Rinehart, Justin J. Wheeler, Rick Jay Glen",False
9047,Colegio de magia y hechicería,"3,3",2447.0,,2020,"Jorgen Klubien, Cindy Robinson","Ben Diskin, Jamieson Price, Philece Sampler, Laura Megan Stahl",False
9048,Top Wing,"4,8",198.0,,2017,,"Ethan Pugiotto, Lucas Kalechstein, Abigail Journey Oliver, Colin Doyle",False
9049,Lie Huo Jiao Chou,"7,5",19.0,,2021,,"Yung-I Chang, Jinwen Chen, SungWon Cho, Gao Feng",False
9050,Las gemelas de St. Claire,"7,9",78.0,,1991,,"Noriko Hidaka, Eriko Hara, Miki Narahashi, Hiroko Emori",False
9051,Two Chips and a Miss,"7,1",605.0,,1952,Jack Hannah,"Peggy Clarke, Jud Conlon, Mac McLean, Helen Seibert",False
9052,Forgotten Bloodlines: Agate,,,,2023,Max Bellomio,Nigel Marven,False
9053,Eikoku koi monogatari Emma,"7,7",287.0,,2005,,"Nicholas Corda, Yumi Tôma, Tokuyoshi Kawashima, Tara Tisch-Wallace",False
9054,Abunai Sisters: Koko & Mika (2009 Video),"3,0",74.0,,2009,Hiroyuki Nakao,"Leni Char, Greg Dale, Vicki Glass, Rachel Walzer",False
9055,Eiga Odd Taxi: In the Woods,"6,2",143.0,,2022,Baku Kinoshita,"Natsuki Hanae, Riho Iida, Ryohei Kimura, Kappei Yamaguchi",False
9056,Peace Maker Kurogane,"6,4",320.0,,2003,,"David Born, Luci Christian, Greg Ayres, Kappei Yamaguchi",False
9057,Sadie Sparks,"7,4",83.0,,2019,,"Joshua LeClair, Georgia Lock, Tyger Drew-Honey, Laura Aikman",False
9058,Karlik Nos,"6,7",1023.0,,2003,"Ilya Maksimov, Konstantin Bronzit, Denis Chernov, Mikhail Meschaninov","Albert Asadullin, Elena Shulman, Evgeniya Igumnova, Natalya Danilova",False
9059,Matty's Funday Funnies,"7,7",113.0,,1959,,"Paul Frees, Iestyn Davies, John Carradine, Hal Smith",False
9060,Treasure Trekkers,"8,3",16.0,,2019,,"Mauriett Chayeb, Joe Lewis, Cassidy Dermott, Johnny Melville",False
9061,Key: The Metal Idol,"7,0",327.0,,1994,,"Junko Iwao, Miki Nagasawa, Hiroshi Yanaka, Toshiyuki Morikawa",False
9062,Rock-a-Bye Bear,"7,8",570.0,,1952,Tex Avery,"Tex Avery, Sara Berner, Daws Butler, William Hanna",False
9063,"Beep, beep","7,7",1763.0,,1952,Chuck Jones,Paul Julian,False
9064,Burnt Face Man,"7,9",126.0,,2004,,"David Firth, Crust, Carla Simpson, Andrew Dennis",False
9065,Mouse,"5,7",111.0,,2003,,"Stephanie Sheh, Cindy Robinson, Philece Sampler, Grant George",False
9066,Fairy Tale Police Department,"7,5",68.0,,2001,,"Keith Scott, Maggie Dence, Sarah Aubrey, Nick Jasprizza",False
9067,Avatar: Super Deformed Shorts,"7,8",33.0,,2007,,"Zach Tyler Eisen, Jack De Sena, Mae Whitman, Dee Bradley Baker",False
9068,Comidalia,"6,0",72.0,,2019,"Liaoyu Chen, Paulette Victor-Lifton","Ashley Bornancin, Danny Fehsenfeld, Sitong Liu, Bo Sun",False
9069,Marcus Level,"7,9",42.0,,2014,,"Harriet Carmichael, Lizzie Waterworth, Laurence Bouvard, Brian Bowles",False
9070,The Tale of Peter Rabbit (1991 TV Movie),"7,4",57.0,,1991,Clive A. Smith,"Carol Burnett, Harry Barandes, Ivy Austin, Fran Brill",False
9071,Honô no rabirinsu (2000 Video),"5,9",122.0,,2000,"Katsuhiko Nishijima, Tetsuya Watanabe","Kôichi Tôchika, Yûki Masuda, Shôzô Îzuka, Yuriko Sasaki",False
9072,I Am So Proud of You,"8,1",1919.0,,2008,Don Hertzfeldt,Don Hertzfeldt,False
9073,Yu-Gi-Oh! la película: La leyenda del dragón negro de ojos rojos,"7,7",1191.0,,1999,Junji Shimizu,"Yumi Kakazu, Hisako Kyôda, Konomi Maeda, Hikaru Midorikawa",False
9074,Kuuchuu Buranko,"7,4",258.0,,2009,,"Romi Park, Yûji Mitsuya, Yumi Sugimoto, Kenji Fukui",False
9075,Polka-Dot Puss,"7,6",1101.0,,1949,"Joseph Barbera, William Hanna","William Hanna, Lillian Randolph",False
9076,Friends and Heroes,"8,2",70.0,,2007,,"Austin Di Iulio, Tony Daniels, Andre Sills, Jamie Watson",False
9077,Kôkyô shihen Eureka sebun Hai-eboryûshon 1,"6,2",112.0,,2017,"Tomoki Kyôda, Hisatoshi Shimizu","Yûko Sanpei, Kaori Nazuka, Kôji Tsujitani, Johnny Yong Bosch",False
9078,The Exigency,"6,6",201.0,,2019,Cody Vibbart,"Tom Haney, Alexis Danner, Warren Halderman, Kayla Vibbart",False
9079,The Swan Princess: Kingdom of Music (2019 Video),"4,6",153.0,,2019,Richard Rich,"Nina Herzog, Yuri Lowenthal, Joseph Medrano, Jennifer Miller",False
9080,Captain Flinn and the Pirate Dinosaurs,"5,6",12.0,,2015,,"Andrew Ellis, Daniel Fletcher, Dan Russell, Shash Hira",False
9081,Nerds and Monsters,"4,7",87.0,,2013,,"Ty Olsson, Michael Adamthwaite, Vincent Tong, Brian Drummond",False
9082,Shopkins Wild,"5,7",73.0,,2018,"Richard Bailey, Adele K. Thomas","Nikoline Bangen, Ryan Bartley, Lili Beaudoin, Bethany Brown",False
9083,All This and Rabbit Stew,"6,1",819.0,,1941,Tex Avery,"Mel Blanc, Darrell Payne, Danny Webb",False
9084,Wing Commander Academy,"6,8",179.0,,1996,,"Mark Hamill, Tom Wilson, Malcolm McDowell, Dana Delany",False
9085,Karada Sagashi,"5,5",7.0,,2017,,"Takuya Eguchi, Yûichirô Umehara, Aoi Koga, Kana Asumi",False
9086,Las locas aventuras de Chip y Chop,"6,0",50.0,,2017,,"Tress MacNeille, Corey Burton, Russi Taylor, Bill Farmer",False
9087,The Magician,"7,2",120.0,,1999,,"Charles Napier, Rob Paulsen, Kath Soucie, Michael Donovan",False
9088,Hortensia Saga,"5,5",173.0,,2021,,"Kellen Goff, Jenny Yokobori, Lizzie Freeman, Anjali Kunapaneni",False
9089,La polka de los cerditos,"6,9",987.0,,1943,Friz Freleng,"Bea Benaderet, Sara Berner, Mel Blanc",False
9090,Densetsu kyojin ideon,"7,0",130.0,,1980,,"Yoku Shioya, Hideyuki Tanaka, Yô Inoue, Fuyumi Shiraishi",False
9091,Rainbow Magic: Return to Rainspell Island,"7,1",44.0,,2010,Hiroshi Kawamata,"Lucy Delaiche, Grace Vance, David Holt, Teresa Gallagher",False
9092,Dâkusaido burûsu,"5,3",557.0,,1994,Yoriyasu Kogawa,"Akio Ôtsuka, Hideyuki Hori, Kotono Mitsuishi, Kôichi Yamadera",False
9093,Las montañas de Ana,"7,2",678.0,,1983,,"Keiko Han, Eiko Yamada, Osamu Kobayashi, Yukiko Iwai",False
9094,XXXTentacion: Bad! (2018 Music Video),"7,6",46.0,,2018,,,False
9095,Maiko-san Chi no Makanai-san,"7,2",65.0,,2021,,"Kana Hanazawa, Mao Ichimichi, Minami Takayama, Satsumi Matsuda",False
9096,Gibiate,"4,2",191.0,,2020,,"Hiroki Touchi, Ryohei Kimura, Tetsuya Kakihara, Shûichi Ikeda",False
9097,Les nouvelles aventures de Lucky Luke,"7,0",566.0,,2001,,"Antoine de Caunes, Eric Legrand, Francis Perrin, Bernard Alane",False
9098,Delta State,"7,3",146.0,,2004,,"Lizz Alexander, Anne Bedian, Sasha Roiz, Nicolas Wright",False
9099,A Tale of Momentum & Inertia,"7,5",297.0,,2014,,,False
9100,Tatakae! Iczer-1 (1985 Video),"6,1",192.0,,1985,Toshiki Hirano,"Arisa Andô, Beau Billingslea, Lilly Browne, Steve Bulen",False
9101,Mobile Suit Gundam 0083: Jion no zankou,"7,3",420.0,,0083,Takashi Imanishi,"Yôsuke Akimoto, Shin Aomori, Kae Araki, Chafûrin",False
9102,Xcalibur,"7,2",84.0,,2001,,"Jules de Jongh, Nicolas Marié, Ben Small, David Kruger",False
9103,Busy Buddies,"7,0",621.0,,1956,"Joseph Barbera, William Hanna",Julie Bennett,False
9104,Why Man Creates,"7,2",809.0,,1968,Saul Bass,"Peter Hansen, Paul Saltman",False
9105,Kurosu gêmu,"8,2",487.0,,2009,,"Miyu Irino, Haruka Tomatsu, Kenji Nomura, Takahiro Sakurai",False
9106,Cuidado con mis ovejas,"8,0",1576.0,,1953,Chuck Jones,Mel Blanc,False
9107,Tubby the Tuba,"6,2",128.0,,1975,Alexander Schure,"Dick Van Dyke, Pearl Bailey, Ruth Enders, Jack Gilford",False
9108,Game Over,"5,8",136.0,,2004,,"Elizabeth Daily, Rachel Dratch, Artie Lange, Lucy Liu",False
9109,El bosque mágico,"7,9",73.0,,1987,,"Tabitha St. Germain, Chuck Shamata, John Stocker, Ellen-Ray Hennessy",False
9110,Mars (I),"5,9",415.0,,2010,Geoff Marslett,"Mark Duplass, Zoë Simpson Dean, Paul Gordon, Cynthia Watros",False
9111,Uglydolls,,,,,,,False
9112,Gegege no Kitarô,"8,0",45.0,,1968,,"Masako Nozawa, Chikao Ôtsuka, Isamu Tanonaka",False
9113,Blade Runner,"7,2",76.0,,2013,Philip Askins,Nicolas Lees,False
9114,Denpa onna to seishun otoko,"6,6",258.0,,2011,,"Shannon Chan-Kent, Vincent Tong, Miyu Irino, Ai Nonaka",False
9115,Who Killed Cock Robin?,"6,9",840.0,,1935,David Hand,"Billy Bletcher, Don Brodie, Leo Cleary, Pinto Colvig",False
9116,Heavy Metal (I),,,,,,,False
9117,Os Piratinhas,"6,9",28.0,,2012,,"Nelson Botter Jr., Thaís Araújo, Stephanie Yukari",False
9118,Seven Senses of the Re'Union,"5,0",168.0,,2018,,"Akari Kitô, Kengo Takanashi, Kaito Ishikawa, Yumiri Hanamori",False
9119,The Dumb Bunnies,"6,6",93.0,,1998,,"Rob Smith, Peter Wildman, Catherine Gallant, Dustin Lauzon",False
9120,Boonie Bears: Bosque frenético,"4,7",18.0,,2014,,"Rick Jay Glen, Paul 'Maxx' Rinehart, Justin J. Wheeler, Toni Thompson",False
9121,Fangface,"6,1",173.0,,1978,,"Frank Welker, Bart Braverman, Susan Blu, Jerry Dexter",False
9122,The Bite-Sized Adventures of Sam Sandwich,"6,1",42.0,,2012,,"Scott Menville, Wally Wingert, Cade Canon Ball, Richard Steven Horvitz",False
9123,El broche encantado,"7,2",252.0,,1983,,"Takako Ôta, Yû Mizushima, Kaneta Kimotsuki, Yûko Mita",False
9124,You Are Special (2000 Video),"8,0",34.0,,2000,Andrea Jobe,"J. Chris Wall, Mark Steele, Gayla Gower, Ray Lewandowski",False
9125,Joker Game,"7,0",735.0,,2016,,"Brandon Potter, Patrick Seitz, Justin Briner, Alejandro Saab",False
9126,Gojira buiesu Gaigan Rekusu,"6,9",39.0,,2022,Takuya Uenishi,Megumi Odaka,False
9127,Fired on Mars,"7,3",98.0,,2016,"Nate Sherman, Nick Vokey",Sean Wing,False
9128,The Tale of Beatrix Potter (1983 TV Movie),"8,4",96.0,,1983,Bill Hays,"Penelope Wilton, Holly Aird, James Campbell, John Woodvine",False
9129,"Animatrix (2003)
Episode: Program","7,2",5072.0,,2003,Yoshiaki Kawajiri,"Hedy Burress, Phil LaMarr, John DiMaggio",False
9130,Usavich,"7,5",166.0,,2006,,,False
9131,El sueño de una noche de San Juan,"4,7",405.0,,2005,"Ángel de la Cruz, Manolo Gómez","Gabino Diego, Carmen Machi, Yolanda Mateos, Luis Bajo",False
9132,Ejen Ali,"8,5",366.0,,2016,,"Ida Rahayu, Shafiq Isa, Noorhayati Maslini, Azman Zulkiply",False
9133,Kidô senshi Gandamu: The Origin II - Kanashimi no Aruteishia,"7,6",532.0,,2015,"Takashi Imanishi, Yoshikazu Yasuhiko","Shûichi Ikeda, Megumi Han, Jin Urayama, Banjô Ginga",False
9134,Neurotically Yours,"8,4",21.0,,2002,,"Jonathan Ian Mathers, Dawn Bennett",False
9135,The Man with the Smallest Penis in Existence and the Electron Microscope Technician Who Loved Him,"5,3",1148.0,,2003,Patrick O'Brien,"Ariane Brandt, Luke Dinsdale",False
9136,Enchantimals: Tales from Everwilde,"6,8",48.0,,2018,,"Doug Erholtz, Rachel Butera, Kate Higgins, Michelle Ruff",False
9137,Ixion Saga DT,"6,7",151.0,,2012,,"Hiroshi Kamiya, Kazuya Nakai, Takuya Eguchi",False
9138,Minnie the Moocher,"7,3",1645.0,,1932,"Dave Fleischer, Willard Bowsky","Cab Calloway and His Cotton Club Orchestra, Cab Calloway, Billy Murray, William Pennell",False
9139,The Adventures of Paddy the Pelican,"1,5",345.0,,1950,,Sam Singer,False
9140,Polly World,"6,3",29.0,,2004,"Terry Klassen, Bill Moore, Jesse Norton","Tegan Moss, Chiara Zanni, Nicole Bouma, Natalie Walters",False
9141,Meu Amigãozão - O Filme,"8,6",36.0,,2022,Andrés Lieban,"Fernanda Ribeiro, Alice Lieban, Pablo Barros, Bia Barros",False
9142,Imagine That! (1996 Video),"8,1",15.0,,1996,"Steven Feldman, Jon Stone","Caroll Spinney, Fran Brill, Martin P. Robinson, Kevin Clash",False
9143,"Lucie, postrach ulice","7,7",342.0,,1980,,"Zaneta Fuchsová, Michal Hofbauer, Daniela Kolárová, Jaromír Hanzlík",False
9144,Ivan Tsarevich i Seryy Volk 5,"4,8",126.0,,2022,Konstantin Feoktistov,"Nikita Efremov, Mikhail Boyarskiy, Maksim Sergeev, Aleksandr Boyarskiy",False
9145,Invisible Network of Kids,"7,1",65.0,,2008,,"Barbara Scaff, Lee Delong, Sharon Mann, Matthew Géczy",False
9146,Mother Up!,"5,4",598.0,,2013,,"Eva Longoria, Rebecca Husain, Jesse Camacho, Gabrielle Miller",False
9147,Asuntos del arte,"6,1",1447.0,,2021,Joanna Quinn,"Menna Trussler, Brendan Charleson, Joanna Quinn, Mali Ann Rees",False
9148,Kanon,"7,5",1598.0,,2006,,"Chris Patton, Tomokazu Sugita, Mariko Kôda, Jessica Boone",False
9149,See You in My 19th Life English Dub (2023 Video),"2,6",15.0,,2023,Kirkos Ren,"Grace Chh, Raven Mist, Grace Trombs, Galaxy Va",False
9150,Dinosaur Island (2002 Video),"5,1",169.0,,2002,Will Meugniot,"Kim Jubenville Carlson, Philip Chen, Nils Haaland, Anadelia Lamas",False
9151,Care Bears and Cousins,"6,9",87.0,,2015,,"Braeden Marcott, Olivia Hack, Stephanie Sheh, David Lodge",False
9152,Funny Face,"8,8",7.0,,2009,,"Phil Lollar, Joey D'Auria, Rick Zieff, Susan Balboni",False
9153,Garfield in Paradise (1986 TV Short),"7,2",562.0,,1986,Phil Roman,"Lorenzo Music, Thom Huge, Wolfman Jack, Frank Nelson",False
9154,A Mouse in the House,"7,7",1204.0,,1947,"Joseph Barbera, William Hanna","Craig Kareller, William Hanna, Bob Laztny, Lillian Randolph",False
9155,Xuxinha e Guto Contra os Monstros do Espaço,"2,5",721.0,,2005,"Moacyr Góes, Clewerson Saremba","Xuxa, Pedro Malta, Flávia Saddy, Lúcio Mauro Filho",False
9156,Kerwhizz,"7,6",41.0,,2008,,"Telka Wilson, Jacob Scipio, Kriselle Basilio, Yasmin Garrad",False
9157,Captain Canuck,"7,9",66.0,,2013,,"Kris Holden-Ried, Paul Amos, Tatiana Maslany, Laura Vandervoort",False
9158,Kulipari: Dream Walker,"7,4",106.0,,2018,,"Mark Hamill, Phil LaMarr, Josh Keaton, Candi Milo",False
9159,The Lego Movie 4D: A New Adventure,"6,0",132.0,,2016,Rob Schrab,"Elizabeth Banks, Alison Brie, Charlie Day, A.J. LoCascio",False
9160,Little 'Tinker,"7,2",499.0,,1948,Tex Avery,"Bea Benaderet, Sara Berner, Walter Craig, June Foray",False
9161,La maison de Toutou,"8,1",77.0,,1966,,"Jacques Morel, Lucie Dolène, Agnès Vanier, Denise Bryer",False
9162,Najika dengeki sakusen,"5,9",181.0,,2001,,"Yumi Tôma, Kira Vincent-Davis, Juri Ihata, Monica Rial",False
9163,Blackie & Kanuto,"3,3",368.0,,2013,Francis Nielsen,"Emilee Wallace, Kristina Hughes, Wayne Grayson, Tyler Shamy",False
9164,Las aventuras de Tom Sawyer,"8,0",747.0,,1980,,"Ikuo Nishikawa, Ichirô Nagai, Minoru Yada, Yoshiko Matsuo",False
9165,Pelle Politibil på sporet,"4,7",249.0,,2013,Rasmus A. Sivertsen,"Aerli Austen, Ashley Bril, Ash Crist, Gard B. Eidsvold",False
9166,Awful Life of Violy: The Sequel,,,,2023,Michael Börissyuk,"Boris Anderson, Jakir Anderson, Violy Anderson, Jahari Davis",False
9167,Mickey el mago,"7,2",1182.0,,1937,David Hand,"Pinto Colvig, Walt Disney, Clarence Nash",False
9168,¡Bonnie Bears al rescate!,"4,6",274.0,,2014,"Leon Ding, Fuyuan Liu, Paulette Victor-Lifton","Rick Jay Glen, Siobhan Lumsden, Paul 'Maxx' Rinehart, Toni Thompson",False
9169,Pat & Mat ve filmu,"7,2",320.0,,2014,,,False
9170,Ice Age - The Last Adventure of Scrat (The End),"8,4",82.0,,2022,,Chris Wedge,False
9171,Los picapieda en - Un encuentro con Piedrácula y Frankenpiedra (1979 TV Movie),"6,6",538.0,,1979,Ray Patterson,"Gay Autterson, Mel Blanc, Ted Cassidy, Henry Corden",False
9172,Sonrisas y lágrimas,"7,8",298.0,,1991,,"Masako Katsuki, Katsunosuke Hori, Eiko Yamada, Katsuji Mori",False
9173,Malapan,,,,2023,Harrison Woodhead,"Vita Ede, Peter Hambleton, Sophie Hambleton, Darren Philips",False
9174,Candy Candy: The Movie,"6,6",52.0,,1989,"Tetsuo Imazawa, Hiroshi Shidara","Ryô Horikawa, Chiyoko Kawashima, Kazue Komiya, Minori Matsushima",False
9175,Un grillo en la ciudad (1973 TV Movie),"7,3",309.0,,1973,Chuck Jones,"Mel Blanc, Les Tremayne, June Foray, Kerry MacLane",False
9176,Los nuevos Archies,"6,8",114.0,,1987,,"Karen Burthwright, Lisa Coristine, Alyson Court, Victor Erdos",False
9177,Rewrite,"6,0",183.0,,2016,,"Masakazu Morita, Junichi Yanagita, Kana Hanazawa, Eri Kitamura",False
9178,Dorkly Originals,"7,0",75.0,,2010,,"Brian Murphy, Tony Wilson, Caldwell Tanner, Owen Parsons",False
9179,Miyori no mori (2007 TV Movie),"6,4",226.0,,2007,Nizô Yamamoto,"Yû Aoi, Hiroyuki Amano, Etsuko Ichihara, Kyôko Sasaki",False
9180,The New Adventures of the Lone Ranger,"7,3",147.0,,1980,,"William Conrad, Ivan Naranjo, Frank Welker, Lou Scheimer",False
9181,The Shark and the Piano,"6,6",29.0,,2001,,,False
9182,After Man,"9,3",8.0,,1990,Shinzo Nishimori,"Yoshiko Miyazaki, Dougal Dixon, Tomoko Hoshino, Masataka Itsumi",False
9183,Springtime for Thomas,"7,6",1292.0,,1946,"Joseph Barbera, William Hanna","Sara Berner, Frank Graham, William Hanna, Bonnie Jerrylette",False
9184,Bonus Stage,"6,9",13.0,,2003,,"Matt J. Wilson, Kira Buckland, Nick Tiner, Bryan Waterman",False
9185,Pirate's Passage (2015 TV Movie),"6,6",413.0,,2015,"Mike Barth, Jamie Gallant","Donald Sutherland, Gage Munroe, Carrie-Anne Moss, Megan Follows",False
9186,Burasuraitâ,"6,7",257.0,,2008,,"Masaya Matsukaze, Shizuka Itô, Unshô Ishizuka, Jamie Marchi",False
9187,Pixel Pinkie,"1,4",469.0,,2009,,"Jane Binning, Anica Boulanger-Mashberg, Magdalena Grubski, Jane Taylor",False
9188,Yabba Dabba Dinosaurs,"4,0",132.0,,2020,,"Ely Henry, Jessica DiCicco, Jeff Bergman, Tress MacNeille",False
9189,G.I. Joe: Operacion Dragonfire,"7,5",118.0,,1989,,"Michael Benyaer, Jim Byrnes, Kevin Conway, Ian James Corlett",False
9190,King Leonardo and His Short Subjects,"7,3",87.0,,1960,,"Allen Swift, Jackson Beck, Ben Stone, Kenny Delmar",False
9191,Estrellas espaciales,"7,3",140.0,,1981,,"Frank Welker, Michael Winslow, Virginia Gregg, Darryl Hickman",False
9192,The Cat in the Hat,,,,,,,False
9193,Girls und Panzer das Finale: Part I,"7,1",387.0,,2017,Tsutomu Mizushima,"Mai Fuchigami, Ai Kayano, Mami Ozaki, Ikumi Nakagami",False
9194,Strawberry Shortcake,"7,5",23.0,,2018,,"Alyson Leigh Rosenfeld, Amanda Barker, Dylan Jones, Laurie Hymes",False
9195,Nick Maravilla,"5,7",156.0,,1991,,"Macaulay Culkin, Quinn Culkin, Paul De La Rosa, Paul Haddad",False
9196,Barcos,"4,7",319.0,,2017,"Simen Alsvik, Will Ashurst","Nina-Zofia Amerschläger, Achim Barrenstein, Dagmar Bittner, Marie Blokhus",False
9197,"Saint Seiya: Capítulo de Hades, Infierno","8,2",1501.0,,2005,,"Takahiro Sakurai, Fumiko Orikasa, Masakazu Morita, Yûta Kasuya",False
9198,Gai yoma kakusei,"6,2",56.0,,1990,,"Naoko Matsui, Show Hayami, Yumi Takada, Hironori Miyata",False
9199,Neapolitan Mouse,"6,8",677.0,,1954,"Joseph Barbera, William Hanna","Danielle Baiu, June Foray, William Hanna, Bill Thompson",False
9200,El cristal de Gawayn,"7,9",107.0,,2009,,"Emma Taylor-Isherwood, Bruce Dinsmore, Rick Jones, Claudia Besso",False
9201,El sueño de una noche de verano,"7,2",434.0,,1959,Jirí Trnka,"Joss Ackland, Ann Bell, Richard Burton, Tom Criddle",False
9202,Rupan sansei: Napoleon no jisho wo ubae (1991 TV Movie),"6,3",318.0,,1991,Osamu Dezaki,"Yôsuke Akimoto, Show Hayami, Mitsuaki Hoshino, Michihiro Ikemizu",False
9203,In the Tall Grass,"5,7",48.0,,2014,"Nadia Dubijansky, Alexii Muftoll","Nadia Dubijansky, Federico Lusthaus, Alexii Muftoll",False
9204,Alpha and Omega: Dino Digs (2015 Video),"3,5",260.0,,2015,Tim Maltby,"Ben Diskin, Kate Higgins, Debi Derryberry, Marieve Herington",False
9205,Boj,"7,1",96.0,,2014,,"Jason Donovan, Josie Taylor, Ziggy Badans, Serenity Brown",False
9206,Untitled Ghostbuster/Jason Reitman Project,,,,,,,False
9207,Mama wa shôgaku yonensei,"7,5",112.0,,1992,,"Satomi Kôrogi, Rihoko Yoshida, Kazue Ikura, Urara Takano",False
9208,The Amazing World of Gumball: Gumball Serenades Penny,"7,5",23.0,,2012,Ben Bocquelet,"Logan Grove, Kwesi Boakye, Teresa Gallagher",False
9209,The Blue Elephant 2,"6,3",143.0,,2009,Taweelap Srivuthivong,"Nonzee Nimibutr, Uttaporn Teemakorn, Anne Thongprasom",False
9210,Yuri Kuma Arashi,"6,8",273.0,,2015,,"Miho Arakawa, Yoshiko Ikuta, Nozomi Yamane, Jun'ichi Suwabe",False
9211,Hell's Bells,"6,9",780.0,,1929,Ub Iwerks,Walt Disney,False
9212,It's Itsy Bitsy Time,"7,2",31.0,,1999,,"Richard Attenborough, Rik Mayall, Tim Whitnall, Fleur Taylor",False
9213,Los patos dictadores,"6,4",791.0,,1942,Norm McCabe,"Mel Blanc, Michael Maltese, John McLeish",False
9214,Murenase! Seton Gakuen,"6,6",321.0,,2020,,"Konomi Kohara, Misaki Kuno, Yume Miyamoto, Hina Kino",False
9215,Everybody Rides the Carousel,"6,5",297.0,,1976,John Hubley,"Alvin Epstein, Judith Coburn, Ray Hubley, Lou Jacobi",False
9216,Happy & Gay,"6,4",69.0,,2014,Lorelei Pepi,"Leah Callahan, Brian Carpenter, Brian King, Charlie Miller",False
9217,Dirty Pair Flash,"6,8",198.0,,1995,,"Rica Matsumoto, Sue Ulu, Mariko Kôda, Kim Sevier",False
9218,Caligula,"5,6",75.0,,2018,,"Chiharu Sawashiro, Nobuhiko Okamoto, Shunsuke Takeuchi",False
9219,Fishtales,"3,2",272.0,,2016,Evan Tramel,"April Rose, Evan Tramel, Anthony Quintarius",False
9220,Moby Dick et le secret de Mu,"7,8",40.0,,2005,,"David Scarpuzza, Delphine Boly, Martin Spinhayer, Peppino Capotondi",False
9221,Star Stable: Mistfall,"7,8",27.0,,2021,,"Banita Sandhu, Aurora Dawson-Hunte, Ólafur Darri Ólafsson, Kate O'Sullivan",False
9222,Return to Oz (1964 TV Movie),"5,5",190.0,,1964,"F.R. Crawley, Thomas Glynn, Larry Roemer","Larry D. Mann, Alfie Scopp, Carl Banas, Susan Morse",False
9223,"Morning, Noon and Night Club","7,1",223.0,,1937,"Dave Fleischer, Willard Bowsky","Lou Fleischer, Jack Mercer, Mae Questel, Gus Wicke",False
9224,Scryed,"6,9",1152.0,,2001,,"Steve Blum, Jason Spisak, Carrie Savage, Kirk Thornton",False
9225,Kimi no Iru Machi,"6,6",285.0,,2012,,"Saori Hayami, Aoi Yûki, Yoshimasa Hosoya, Erina Mano",False
9226,Rat-A-Tat,"5,8",13.0,,2015,,,False
9227,Gatta Cenerentola,"6,8",1023.0,55.0,2017,"Ivan Cappiello, Marino Guarnieri, Alessandro Rak, Dario Sansone","Massimiliano Gallo, Maria Pia Calzone, Alessandro Gassmann, Daniele Bigliardo",False
9228,Super Dinosaur,"8,7",71.0,,2018,,"Valin Shinyei, Deven Christian Mack, Alessandro Juliani, Brian Dobson",False
9229,Shiroi Suna no Aquatope,"7,3",328.0,,2021,,"Miku Itou, Rikako Aida, Shimba Tsuchiya, Lynn",False
9230,Mirmo,"6,7",111.0,,2002,,"Etsuko Kozakura, Mai Nakahara, Yukitoshi Tokumoto, Mayuko Omimura",False
9231,Gadget Boy and Heather,"4,9",118.0,,1995,,"Don Adams, Maurice LaMarche, Tara Strong, Stevie Vallance",False
9232,Deaimon,"7,1",243.0,,2022,,"Nobunaga Shimazaki, Kozue Yuuki, Sayaka Ôhara, Rikiya Koyama",False
