,title_english,imdb_rating,votes_imdb,metascore,year,director,stars,imdb_trust
16098,Spies,"6,7",630.0,,1943,Chuck Jones,Mel Blanc,False
16099,The Pest That Came to Dinner,"6,8",253.0,,1948,Arthur Davis,Mel Blanc,False
16100,¡Va! ¡Va! ¡Fue!,"7,4",962.0,,1952,Chuck Jones,Paul Julian,False
16101,This Just In,"7,3",44.0,,2004,,"Peter MacNicol, Steve Marmel, Alex Meneses, Rob Paulsen",False
16102,Flatmania,"6,4",45.0,,2004,,"Oliver Grainger, Eleanor Noble, Mark Camacho, Richard M Dumont",False
16103,Absolute Denial,"7,5",78.0,,2021,Ryan Braund,"Nick Eriksen, Jeremy J. Smith-Sebasto, Harry Dyer, Heather Gonzalez",False
16104,Entre deux soeurs,"6,2",331.0,,1991,Caroline Leaf,"Kathleen Fee, Michael Rudder, Jane Woods",False
16105,Haunted Mouse,"6,2",524.0,,1965,"Chuck Jones, Maurice Noble","Mel Blanc, Timothy P. Peterson, Jack Sabel",False
16106,Scientifically Accurate,"6,0",36.0,,2013,,Heather Anne Campbell,False
16107,Gekidol,"5,8",42.0,,2021,,"Amina Satô, Akiyoshi Aya, Nozomi Yamamoto, Mao Ichimichi",False
16108,Agent 203,,,,,,"Kyra Jackson, Emelia Suljic, Tim Heller",False
16109,Akikan!,"5,3",168.0,,2009,,"Jun Fukuyama, Sayaka Narita, Aki Toyosaki, Mamiko Noto",False
16110,Pop 'im Pop!,"7,0",248.0,,1950,Robert McKimson,Mel Blanc,False
16111,Dream Journal 2016-2019,"6,3",37.0,,2016,,,False
16112,The Prince of Atlantis,,,,1997,,"Victor Spinetti, Tom Clarke Hill, Lorraine Parsloe, Eric Meyers",False
16113,Mickey Plays Papa,"6,1",282.0,,1934,Burt Gillett,"Pinto Colvig, Marcellite Garner, Walt Disney",False
16114,Akbar Birbal (2019 Video),"7,5",18.0,,2019,Vijay S. Bhanushali,"Samay Thakkar, Ganessh Divekar, Rajeshree Sharma, Dolly Lopes",False
16115,Tronco de Navidad del castillo de Arendelle (2019 Video),"4,6",145.0,,2019,,,False
16116,Crocadoo,"8,4",9.0,,1993,,"Dave Gibson, Aaron Pedersen, Tony Barry, Judy Morris",False
