title_english,imdb_rating,imdb_trust,score,japanese_name
Dirty Pair Flash,6.8,False,6.67,ダーティペアFLASH
Photo Kano,5.7,False,6.22,フォトカノ
Gasaraki,6.4,False,6.66,ガサラキ
Samurai Deeper Kyo,6.7,False,6.92,SAMURAI DEEPER KYO
Needless,6.6,False,7.28,ニードレス
Muhyo & Roji's Bureau of Supernatural Investigation,7.0,False,6.7,ムヒョとロージーの魔法律相談事務所
Saiyuki Reload,7.2,False,7.41,最遊記RELOAD
Brave 10,6.4,False,6.8,ブレイブ・テン
Un-Go,6.5,False,7.4,UN-GO アン ゴ
Kiddy Grade,6.9,False,7.22,キディ・グレイド
Upotte!!,6.7,False,6.51,うぽって!!
Norn9,5.9,False,6.56,NORN9 ノルン+ノネット
Gundam Build Divers,7.0,False,6.31,ガンダムビルドダイバーズ
Kobato.,7.3,False,7.98,こばと。
Eromanga Sensei,5.5,False,6.49,エロマンガ先生
Elemental Gelade,6.8,False,7.3,エレメンタルジェレイド
8 Man After,6.3,False,6.19,エイトマン AFTER
Listeners,5.2,False,5.38,LISTENERS リスナーズ
009-1,6.4,False,6.26,ゼロゼロナインワン
Mushibugyo,6.5,False,7.35,ムシブギョー 蟲奉行
Occultic;Nine,6.4,False,6.94,Occultic;Nine －オカルティック・ナイン－
Back Arrow,6.0,False,5.81,バック・アロウ
Blue Seed,6.8,False,7.03,ブルーシード
Broken Blade,6.8,False,7.67,ブレイク ブレイド 覚醒ノ刻
Broken Blade,6.8,False,7.29,ブレイク ブレイド
Speed Racer X,7.1,False,6.31,マッハGoGoGo
Maburaho,6.4,False,6.8,まぶらほ
Vividred Operation,5.7,False,6.46,ビビッドレッド・オペレーション
Dances with the Dragons,5.9,False,5.82,されど罪人は竜と踊る
Gregory Horror Show,7.7,False,6.61,グレゴリーホラーショー
Project ARMS,6.6,False,6.99,プロジェクトアームズ
Beatless,5.6,False,6.2,BEATLESS
Tokyo ESP,6.4,False,6.57,東京ESP
Macross Delta,5.9,False,7.27,マクロスΔ（デルタ）
Zoids Fuzors,6.4,False,6.42,ゾイド・フューザーズ
Hand Shakers,3.1,False,5.35,ハンドシェイカー
Idoly Pride,6.5,False,6.79,IDOLY PRIDE
Aria the Origination,8.3,False,8.53,ARIA The ORIGINATION
Sagrada Reset,7.4,False,7.37,サクラダリセット
Gatchaman Crowds,6.8,False,7.33,ガッチャマン クラウズ
Hidamari Sketch,7.0,False,7.45,ひだまりスケッチ
Bakuon!!,6.3,False,6.48,ばくおん!!
Coppelion,6.1,False,6.48,コッペリオン
Captain Earth,6.0,False,6.42,キャプテン・アース
The Case Files of Jeweler Richard,6.8,False,7.16,宝石商リチャード氏の謎鑑定
Moetan,6.3,False,6.5,もえたん
Anime-Gataris,6.1,False,6.42,アニメガタリズ
ID-0,6.1,False,6.59,ID-0
Thunderbirds 2086,7.0,False,6.1,科学救助隊テクノボイジャー
Double Decker! Doug & Kirill,6.7,False,6.87,DOUBLE DECKER! ダグ＆キリル
I My Me! Strawberry Eggs,7.0,False,6.81,あぃまぃみぃ！ストロベリー・エッグ
Luck & Logic,5.3,False,6.1,ラクエンロジック
Kamisama Dolls,6.6,False,7.04,神様ドォルズ
Saber Marionette J,7.4,False,7.35,セイバーマリオネットJ
Love Hina Again,6.8,False,7.25,ラブ ひな Again
Kimba the White Lion,6.5,False,6.56,ジャングル大帝
"Wave, Listen to Me!",7.0,False,7.37,波よ聞いてくれ
"Wake Up, Girls!",6.5,False,6.99,"Wake Up, Girls！"
The Littl' Bits,7.1,False,6.38,森の陽気な小人たち ベルフィーとリビット
Tari Tari,7.0,False,7.32,TARI TARI
Glasslip,5.0,False,5.44,グラスリップ
Yuyushiki,6.6,False,7.38,ゆゆ式
Beet the Vandel Buster,6.6,False,6.98,冒険王ビィト
Natsuyuki Rendezvous,7.2,False,7.29,夏雪ランデブー
Hinako Note,6.4,False,6.76,ひなこのーと
RobiHachi,5.9,False,6.51,ロビハチ
Star Ocean EX,6.8,False,6.61,スターオーシャンEX
Demon Prince Enma,6.6,False,7.13,鬼公子　炎魔
Mitsuboshi Colors,6.8,False,7.43,三ツ星カラーズ
Endride,5.4,False,5.65,エンドライド
Love Live! Sunshine!!,7.0,False,7.4,ラブライブ！サンシャイン!!
Danchigai,5.8,False,6.54,だんちがい
Tytania,6.9,False,6.84,タイタニア
Joshi Kausei,5.4,False,5.76,女子かう生
ClassicaLoid,7.2,False,6.41,クラシカロイド
Macron 1,7.7,False,6.6,戦国魔神ゴーショーグン
Takunomi,6.2,False,6.43,たくのみ。
Puzzle & Dragons X,7.1,False,6.48,パズドラクロス
Inugami-san to Nekoyama-san,6.0,False,6.57,犬神さんと猫山さん
Elegant Yokai Apartment Life,7.1,False,7.18,妖怪アパートの幽雅な日常
AKB0048,6.4,False,7.39,AKB0048
Reideen,7.2,False,6.56,ライディーン
Gundam Build Fighters Try,6.9,False,7.27,ガンダムビルドファイターズトライ
Gekidol,5.8,False,5.76,ゲキドル
Akikan!,5.3,False,6.18,アキカン!
Kabukibu!,7.5,False,6.62,カブキブ！
RG Veda,5.9,False,6.14,聖伝
Gatchaman,,False,6.95,科学忍者隊ガッチャマン
Fantastic Children,7.4,False,7.55,ファンタジックチルドレン
Fractale,6.7,False,6.96,フラクタル
Hanayamata,7.2,False,7.33,ハナヤマタ
Aria the Natural,8.0,False,8.2,ARIA The NATURAL
Long Riders!,7.2,False,6.64,ろんぐらいだぁす！
Kagewani,6.1,False,6.42,影鰐-KAGEWANI-
Gatchaman Crowds Insight,7.4,False,7.3,GATCHAMAN CROWDS insight（インサイト）
Gatchaman Crowds Insight,7.4,False,7.02,GATCHAMAN CROWDS insight（インサイト）「#0 inbound」
Hatena Illusion,6.1,False,5.37,はてな☆イリュージョン
Space Pirate Captain Harlock,7.0,False,7.71,宇宙海賊・キャプテンハーロック
Space Pirate Captain Harlock,7.0,False,7.38,キャプテンハーロック
Battle Girl High School,5.1,False,5.84,バトルガール ハイスクール
Baby Felix,6.3,False,5.52,ベイビーフィリックス
Starmyu,6.9,False,6.93,高校星歌劇［スタミュ］
100 Sleeping Princes and the Kingdom of Dreams,6.2,False,5.9,夢王国と眠れる100人の王子様
Kirarin Revolution,7.1,False,7.07,きらりん☆レボリューション
Nyanko Days,6.6,False,6.61,にゃんこデイズ
Wagamama High Spec,4.0,False,5.41,ワガママハイスペック
Nyanbo!,5.1,False,6.35,にゃんぼー!
Woodpecker Detective's Office,7.0,False,6.03,啄木鳥探偵處
Metal Fighter Miku,7.2,False,6.04,メタルファイター・MIKU
